Index,name,height,weight,college,birth_date,birth_city,birth_state
0,Curly Armstrong,180,77,Indiana University,1918,,
1,Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana
2,Leo Barnhorst,193,86,University of Notre Dame,1924,,
3,Ed Bartels,196,88,North Carolina State University,1925,,
4,Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky
5,Gene Berce,180,79,Marquette University,1926,,
6,Charlie Black,196,90,University of Kansas,1921,Arco,Idaho
7,Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania
8,Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey
9,Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana
10,Don Boven,193,95,Western Michigan University,1925,Kalamazoo,Michigan
11,Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York
12,Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma
13,Bob Brannum,196,97,Michigan State University,1925,,
14,Carl Braun,196,81,Colgate University,1927,Brooklyn,New York
15,Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana
16,Price Brookfield,193,83,West Texas A&M University,1920,Floydada,Texas
17,Bob Brown,193,92,Miami University,1923,Versailles,Ohio
18,Jim Browne,208,106,,1930,Midlothian,Illinois
19,Walt Budko,196,99,Columbia University,1925,Kearney,New Jersey
20,Jack Burmaster,190,86,University of Illinois at Urbana-Champaign,1926,,
21,Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey
22,Bill Calhoun,190,81,City College of San Francisco,1927,San Francisco,California
23,Don Carlson,183,77,University of Minnesota,1919,Minneapolis,Minnesota
24,Bob Carpenter,196,90,East Texas State University,1917,,
25,Jake Carter,193,88,East Texas State University,1924,,
26,Al Cervi*,180,77,,1917,Buffalo,New York
27,John Chaney,190,83,Louisiana State University,1920,,
28,Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana
29,Bill Closs,196,88,Rice University,1922,Edge,Texas
30,Paul Cloyd,188,81,University of Wisconsin,1920,,
31,Jack Coleman,201,88,University of Louisville,1924,Burgin,Kentucky
32,Bobby Cook,178,70,University of Wisconsin,1923,,
33,Ray Corley,183,81,Georgetown University,1928,,
34,Jack Cotton,201,90,University of Wyoming,1924,Miles City,Montana
35,Dillard Crocker,193,92,Western Michigan University,1925,Coffee County,Tennessee
36,Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania
37,Fran Curran,183,79,University of Notre Dame,1922,Sterling,Illinois
38,Jimmy Darden,185,77,University of Denver,1922,,
39,Bob Davies*,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania
40,Hook Dillon,190,81,University of North Carolina,1924,Savannah,Georgia
41,Earl Dodd,196,79,Truman State University,1924,,
42,Joe Dolhon,183,79,New York University,1927,,
43,Bob Doll,196,88,University of Colorado,1919,Steamboat Springs,Colorado
44,Harry Donovan,188,81,Muhlenberg College,1926,Union City,New Jersey
45,Andy Duncan,198,88,College of William & Mary,1922,,
46,Dike Eddleman,190,85,University of Illinois at Urbana-Champaign,1922,Centralia,Illinois
47,Gene Englund,196,92,University of Wisconsin,1917,Kenosha,Wisconsin
48,Bob Evans,188,79,Butler University,1925,Indianapolis,Indiana
49,Johnny Ezersky,190,79,University of Rhode Island,1922,New York,New York
50,Bob Feerick,190,86,Santa Clara University,1920,San Francisco,California
51,George Feigenbaum,185,83,University of Kentucky,1929,,
52,Arnie Ferrin,188,81,University of Utah,1925,Salt Lake City,Utah
53,Jerry Fleishman,188,86,New York University,1922,Brooklyn,New York
54,Joe Fulks*,196,86,Murray State University,1921,Birmingham,Kentucky
55,Bill Gabor,180,77,Syracuse University,1922,,
56,Elmer Gainer,198,88,DePaul University,1918,Chicago,Illinois
57,Harry Gallatin*,198,95,Truman State University,1927,Roxana,Illinois
58,Vern Gardner,196,90,University of Utah,1925,Afton,Wyoming
59,Frank Gates,183,72,Sam Houston State University,1920,,
60,Dee Gibson,180,79,Western Kentucky University,1923,,
61,Hoot Gibson,196,89,Creighton University,1921,,
62,Chuck Gilmur,193,102,University of Washington,1922,,
63,Normie Glick,201,86,Loyola Marymount University,1927,,
64,Paul Gordon,190,83,University of Notre Dame,1927,,
65,Joe Graboski,201,88,,1930,,
66,Bud Grant,190,88,University of Minnesota,1927,Superior,Wisconsin
67,Don Grate,188,83,Ohio State University,1923,Greenfield,Ohio
68,Alex Groza,201,98,University of Kentucky,1926,Martins Ferry,Ohio
69,Al Guokas,196,90,Saint Joseph's University,1925,,
70,Robert Hahn,208,108,North Carolina State University,1925,,
71,Chick Halbert,206,102,West Texas A&M University,1919,Albany,Texas
72,Bruce Hale,185,77,Santa Clara University,1918,Medford,Oregon
73,Dale Hamilton,183,81,Franklin College,1919,,
74,Alex Hannum*,201,95,University of Southern California,1923,Los Angeles,California
75,John Hargis,188,81,University of Texas at Austin,1920,Nacogdoches,Texas
76,Bob Harris,201,88,Oklahoma State University,1927,Linden,Tennessee
77,Bob Harrison,201,88,Oklahoma State University,1927,Linden,Tennessee
78,Billy Hassett,180,81,University of Notre Dame,1921,,
79,Marshall Hawkins,190,92,University of Tennessee,1924,Huntington,West Virginia
80,Bill Henry,206,97,Rice University,1924,Dallas,Texas
81,Bill Herman,190,77,Mount Union College,1924,,
82,Kleggie Hermsen,206,102,University of Minnesota,1923,Hill City,Minnesota
83,Sonny Hertzberg,178,79,City College of New York,1922,Brooklyn,New York
84,Paul Hoffman,188,88,Purdue University,1925,,
85,Joe Holland,193,83,University of Kentucky,1925,,
86,Red Holzman*,178,79,City College of New York,1920,Brooklyn,New York
87,Gene James,193,81,Marshall University,1925,Ironton,Ohio
88,Howie Janotta,190,83,Seton Hall University,1924,,
89,Tony Jaros,190,83,University of Minnesota,1920,Minneapolis,Minnesota
90,Buddy Jeannette*,180,79,Washington & Jefferson College,1917,New Kensington,Pennsylvania
91,Arnie Johnson,196,107,Bemidji State University,1920,Gonvick,Minnesota
92,Ralph Johnson,180,77,Huntington University,1921,,
93,Wah Wah,180,77,,1921,,
94,Noble Jorgensen,206,103,University of Iowa,1925,,
95,George Kaftan,190,86,College of the Holy Cross,1928,New York,New York
96,Leo Katkaveck,183,83,North Carolina State University,1923,,
97,Jack Kerris,198,97,Loyola University of Chicago,1925,,
98,Bob Kinney,198,97,Rice University,1920,Fort Scott,Kansas
99,Walt Kirk,190,78,University of Illinois at Urbana-Champaign,1924,Mount Vernon,Illinois
100,Leo Klier,188,77,University of Notre Dame,1923,Washington,Indiana
101,Duane Klueh,190,79,Indiana State University,1926,Bottineau,North Dakota
102,Lee Knorek,201,97,University of Detroit Mercy,1921,Warsaw,Poland
103,Milo Komenich,201,96,University of Wyoming,1920,,
104,Leo Kubiak,180,72,Bowling Green State University,1927,,
105,Frank Kudelka,188,87,Saint Mary's College of California,1925,,
106,Walt Lautenbach,188,83,University of Wisconsin,1922,,
107,Tony Lavelli,190,83,Yale University,1926,Somerville,Massachusetts
108,Ed Leede,190,83,Dartmouth College,1927,,
109,Andrew Levane,188,86,St. John's University,1920,Brooklyn,New York
110,Freddie Lewis,188,88,Eastern Kentucky University,1921,Brooklyn,New York
111,Ron Livingstone,208,99,University of Wyoming,1925,,
112,John Logan,188,79,Indiana University,1921,Richmond,Indiana
113,Ray Lumpp,185,80,New York University,1923,Brooklyn,New York
114,Ed Macauley*,203,83,Saint Louis University,1928,St. Louis,Missouri
115,Johnny Macknowski,183,81,Seton Hall University,1923,,
116,John Mahnken,203,99,Georgetown University,1922,New Jersey,New Jersey
117,John Mandic,193,92,Oregon State University,1919,Los Angeles,California
118,Slater Martin*,178,77,University of Texas at Austin,1925,El Mina,Texas
119,Ariel Maughan,193,86,Utah State University,1923,Salt Lake City,Utah
120,Matt Mazza,190,95,Michigan State University,1923,Niagara Falls,New York
121,Mike McCarron,180,81,Seton Hall University,1922,,
122,Dick McGuire*,183,81,St. John's University,1926,Huntington,New York
123,Bones McKinney,198,83,University of North Carolina,1919,Lowlands,North Carolina
124,Mal McMullen,196,95,Xavier University,1927,,
125,Dick Mehen,196,88,University of Tennessee,1922,,
126,Ken Menke,183,76,University of Illinois at Urbana-Champaign,1922,,
127,Stan Miasek,196,95,,1924,,
128,Ed Mikan,203,104,DePaul University,1925,,
129,George Mikan*,208,111,DePaul University,1924,Joliet,Illinois
130,Vern Mikkelsen*,201,104,Hamline University,1928,Fresno,California
131,Al Miksis,201,95,Western Illinois University,1928,,
132,Murray Mitchell,201,95,Sam Houston State University,1923,,
133,Leo Mogus,193,86,Youngstown State University,1921,Ohio,
